regex,rat,redos,rescue,revealer,saferegex,k
(?:\/[A-Za-z0-9\.]+|) *([A-Za-z0-9 _\!\[\]:]*(?:[Aa]rchiver|[Ii]ndexer|[Ss]craper|[Bb]ot|[Ss]pider|[Cc]rawl[a-z]*)) (\d+)(?:\.(\d+)(?:\.(\d+)|)|),0,1,0,0,0,1
(?:\s+[^>]+)?,0,1,0,0,0,1
(?:asus.*?ASUS|Asus|ASUS|asus)[\- ;]*((?:Transformer (?:Pad|Prime) |Transformer |Padfone |Nexus[ _]|)[A-Za-z0-9]+),0,1,0,0,0,1
(@\(([^\r\n\/:\)]+)(?:\/[nrts$uL]*)?\).*(?:\r?\n|\r))(?:.*(?:\r?\n|\r(?!\n)))*?[ \t]*\|?[ \t]*-?[ \t]*\2,0,1,0,0,0,1
(AppleWebKit)\/(\d+)(?:\.(\d+)|)\+ .* Safari,0,1,0,0,0,1
(Black[Bb]erry).+Version\/(\d+)\.(\d+)\.(\d+)(?:\.(\d+)|),0,1,0,0,0,1
(BonEcho)\/(\d+)\.(\d+)\.?([ab]?\d+|),0,1,0,0,0,1
(CPU[ +]OS|iPhone[ +]OS|CPU[ +]iPhone)[ +]+(\d+)[_\.](\d+)(?:[_\.](\d+)|).*Outlook-iOS-Android,0,1,0,0,0,1
(Chimera|SeaMonkey|Camino|Waterfox)/(\d+)\.(\d+)\.?([ab]?\d+[a-z]*|),0,0,0,0,1,1
(Chimera|SeaMonkey|Camino|Waterfox)\/(\d+)\.(\d+)\.?([ab]?\d+[a-z]*|),0,1,0,0,0,1
(Firefox)/(\d+)\.(\d+)([ab]\d+[a-z]*|) \(Swiftfox\),0,0,0,0,1,1
(Firefox)/(\d+)\.(\d+)(pre|[ab]\d+[a-z]*|),0,0,0,0,1,1
(HbbTV)(?:\/1\.1\.1|) ?(?: \(;;;;;\)|); *CE-HTML(?:\/1\.\d|); *([^ ]+) ([^;]+);,0,1,0,0,0,1
"(HbbTV)/1\.1\.1.*CE-HTML/1\.\d;(Vendor/|)(THOM[^;]*?)[;\s].{0,30}(LF[^;]+);?",0,0,0,0,1,1
"(HbbTV)\/1\.1\.1.*CE-HTML\/1\.\d;(Vendor\/|)(THOM[^;]*?)[;\s].{0,30}(LF[^;]+);?",0,1,0,0,0,1
"(Java)[/ ]{0,1}\d+\.(\d+)\.(\d+)[_-]*([a-zA-Z0-9]+|)",0,0,0,0,1,1
"(Java)[\/ ]{0,1}\d+\.(\d+)\.(\d+)[_-]*([a-zA-Z0-9]+|)",0,1,0,0,0,1
(LG Player|Doppler|FancyMusic|MediaMonkey|Clementine) (\d+)\.(\d+)\.?([^.\s]+|)\.?([^.\s]+|),0,1,0,0,0,1
(Linux)[ \/](\d+)\.(\d+)(?:\.(\d+)|).*gentoo,0,1,0,0,0,1
(MSIE) (\d+)\.(\d+)([a-z]\d|[a-z]|);.* MSIECrawler,0,1,0,0,1,2
(MozillaDeveloperPreview)/(\d+)\.(\d+)([ab]\d+[a-z]*|),0,0,0,0,1,1
(Namoroka|Shiretoko|Minefield)/(\d+)\.(\d+)([ab]\d+[a-z]*|),0,0,0,0,1,1
(Netscape6)\/(\d+)\.(\d+)\.?([ab]?\d+|),0,1,0,0,0,1
(Obigo|OBIGO)[^\d]*(\d+)(?:.(\d+)|),0,1,0,0,0,1
(Opera Tablet).*Version\/(\d+)\.(\d+)(?:\.(\d+)|),0,1,0,0,0,1
(Opera)\/9.80.*Version\/(\d+)\.(\d+)(?:\.(\d+)|),0,1,0,0,0,1
(Sony)(?:BDP\/|\/|)([^ \/;\)]+)[ \/;\)],0,1,0,0,0,1
(Version)\/(\d+)\.(\d+)(?:\.(\d+)|).*Safari\/,0,1,0,0,0,1
"([ \t]*)\S(?:,[^,\r\n]+|[^,\r\n]*)(?:,[^,\r\n]+)*(?:,(?:\r?\n|\r)\1[ \t]+\S(?:,[^,\r\n]+|[^,\r\n]*)(?:,[^,\r\n]+)*)*",0,1,0,0,0,1
(\$)(evoque|overlay)(\{(%)?)(\s*[#\w\-\\.]+)?,0,0,0,0,1,1
(\.\w+\b)(\s*=\s*)([^;\s]*)(\s*;),0,1,0,0,0,1
(\s*)(?:(\S+)(\s*)(=)(\s*))?(.+)(\()(.*)(\))(\s*),0,1,1,1,0,3
(\s*)(?:\+[=-]+)+\+(?:\r?\n|\r)(?:\1[+|].+[+|](?:\r?\n|\r))+\1(?:\+[=-]+)+\+,0,1,0,0,0,1
(\s*)=+ [ =]*=(?:(?:\r?\n|\r)\1.+)+(?:\r?\n|\r)\1=+ [ =]*=(?=(?:\r?\n|\r){2}|\s*$),0,1,1,0,0,2
(\{\s+)(\S+)(\s[^}]+\s\}\s),0,1,0,0,0,1
(^[ \t]*)---[\s\S]*?[\r\n][ \t]*\.\.\.$,0,0,0,0,1,1
(^|[^\{\\\\$])#.*,0,0,0,0,1,1
(amarok)\/([^.\s]+)\.([^.\s]+|)\.?([^.\s]+|),0,1,0,0,0,1
(b+)b+,0,1,0,0,0,1
(ftp|FTP|sftp|SFTP|http|HTTP|https|HTTPS|webdav|WEBDAV|smb|SMB)://([^:@]+:[^:@]+@)*([^:]+)([ 	]*:[0-9]+)*([ 	]*:)*(/*?.*),0,0,0,0,1,1
(ftp|FTP|sftp|SFTP|http|HTTP|https|HTTPS|webdav|WEBDAV|smb|SMB)://([^:@]+:[^:@]+@)*([^:]+?/*)([ ]*:[0-9]+)*([ ]*:)*(/.*),0,0,0,0,1,1
(ftp|FTP|sftp|SFTP|http|HTTP|https|HTTPS|webdav|WEBDAV|smb|SMB):\/\/([^:@]+:[^:@]+@)*([^:]+)([ 	]*:[0-9]+)*([ 	]*:)*(\/*?.*),0,1,0,0,0,1
(ftp|FTP|sftp|SFTP|http|HTTP|https|HTTPS|webdav|WEBDAV|smb|SMB):\/\/([^:@]+:[^:@]+@)*([^:]+?\/*)([ ]*:[0-9]+)*([ ]*:)*(\/.*),0,1,0,0,0,1
(iPod|iPhone|iPad).+Version\/(\d+)\.(\d+)(?:\.(\d+)|),0,1,0,0,0,1
(iPod|iPhone|iPad).+Version\/(\d+)\.(\d+)(?:\.(\d+)|).*[ +]Safari,0,1,0,0,0,1
(iPod|iPod touch|iPhone|iPad);.*CPU.*OS[ +](\d+)_(\d+)(?:_(\d+)|).* AppleNews\/\d+\.\d+\.\d+?,0,1,0,0,0,1
(iPod|iPod touch|iPhone|iPad);.*CPU.*OS[ +](\d+)_(\d+)(?:_(\d+)|).*Mobile,0,1,0,0,0,1
(iPod|iPod touch|iPhone|iPad);.*CPU.*OS[ +](\d+)_(\d+)(?:_(\d+)|).*Mobile.*[ +]Safari,0,1,0,0,0,1
(philpodder)\/(\d+)\.(\d+)\.?([^.\s]+|)\.?([^.\s]+|),0,1,0,0,0,1
