regex,rat,redos,rescue,revealer,saferegex,k
(?:/[A-Za-z0-9\.]+)? *([A-Za-z0-9 _\!\[\]:]*(?:[Aa]rchiver|[Ii]ndexer|[Ss]craper|[Bb]ot|[Ss]pider|[Cc]rawl[a-z]*)) (\d+)(?:\.(\d+)(?:\.(\d+))?)?,0,0,0,1,0,1
(?:Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)]|WPDesktop;) ?(?:ARM; ?Touch; ?|Touch; ?)?(?:NOKIA|Nokia)[^;]*; *(?:NOKIA ?|Nokia ?|LUMIA ?|[Ll]umia ?)*([^;\)]+),0,1,0,0,0,1
"(?:[;,] *|^)(?:htccn_chs-)?HTC[ _-]?([^;]+?)(?: *Build|clay|Android|-?Mozilla| Opera| Profile| UNTRUSTED|[;\/\(\)]|$)",0,1,0,0,0,1
(?:[\w-]|\$[-\w]+|#\{\$[-\w]+\})+(?=\s*:),0,0,1,1,0,2
(?:\/[A-Za-z0-9\.]+)? *([A-Za-z0-9 \-_\!\[\]:]*(?:[Aa]rchiver|[Ii]ndexer|[Ss]craper|[Bb]ot|[Ss]pider|[Cc]rawl[a-z]*))\/(\d+)(?:\.(\d+)(?:\.(\d+))?)?,0,1,0,0,0,1
(?:\/[A-Za-z0-9\.]+)? *([A-Za-z0-9 _\!\[\]:]*(?:[Aa]rchiver|[Ii]ndexer|[Ss]craper|[Bb]ot|[Ss]pider|[Cc]rawl[a-z]*)) (\d+)(?:\.(\d+)(?:\.(\d+))?)?,0,1,0,0,0,1
(?:asus.*?ASUS|Asus|ASUS|asus)[\- ;]*((?:Transformer (?:Pad|Prime) |Transformer |Padfone |Nexus[ _])?[A-Za-z0-9]+),0,1,0,0,0,1
"(?<!\{)\{+(?=(?:[^{}][^,.]*)?[,.][^}]*\})\/gu, (curlyBraces)",0,1,0,0,0,1
(@\(([^\r\n/:\)]+)(?:/[nrts$uL]*)?\).*(?:\r?\n|\r))(?:.*(?:\r?\n|\r))*?[ \t]*\|?[ \t]*-?[ \t]*\2,0,0,1,0,0,1
(@\(([^\r\n\/:\)]+)(?:\/[nrts$uL]*)?\).*(?:\r?\n|\r))(?:.*(?:\r?\n|\r))*?[ \t]*\|?[ \t]*-?[ \t]*\2,0,1,0,0,0,1
(Android)[ \-\/](\d+)\.?(\d+)?(?:[.\-]([a-z0-9]+))?,0,1,0,0,0,1
(AppleWebKit)\/(\d+)\.?(\d+)?\+ .* Safari,0,1,0,0,0,1
(Black[Bb]erry).+Version\/(\d+)\.(\d+)\.(\d+)(?:\.(\d+))?,0,1,0,0,0,1
(BonEcho)\/(\d+)\.(\d+)\.?([ab]?\d+)?,0,1,0,0,0,1
(CFNetwork)(?:\/(\d+)\.(\d+)\.?(\d+)?)?,0,1,0,0,0,1
(CPU[ +]OS|iPhone[ +]OS|CPU[ +]iPhone)[ +]+(\d+)[_\.](\d+)(?:[_\.](\d+))?.*Outlook-iOS-Android,0,1,0,0,0,1
(Chimera|SeaMonkey|Camino|Waterfox)/(\d+)\.(\d+)\.?([ab]?\d+[a-z]*)?,0,0,0,0,1,1
(Chimera|SeaMonkey|Camino|Waterfox)\/(\d+)\.(\d+)\.?([ab]?\d+[a-z]*)?,0,1,0,0,0,1
(ESPN) Radio (\d+)\.(\d+)\.?(\d+)? ?(?:rv:(\d+))?,0,1,0,0,0,1
(Firefox)/(\d+)\.(\d+)([ab]\d+[a-z]*)? \(Swiftfox\),0,0,0,0,1,1
(Firefox)/(\d+)\.(\d+)(pre|[ab]\d+[a-z]*)?,0,0,0,0,1,1
(FxiOS)/(\d+)\.(\d+)(\.(\d+))?(\.(\d+))?,0,0,0,0,1,1
(HbbTV)(?:\/1\.1\.1)?(?: ?\(;;;;;\))?; *CE-HTML(?:\/1\.\d)?; *([^ ]+) ([^;]+);,0,1,0,0,0,1
